document_id,terms
cdd606,american airlines cargo|help american airlines|airlines cargo keep|american airlines|airlines cargo
40aca4,hamburg airport customs|hamburg airport|airport customs office|hamburg airport cargo|airport cargo center
68fcfd,reduce food loss|cool chain association|food loss|supply chain|data sharing
0f5119,supply chain innovator|pelican biothermal|minnesota manufacturing awards|recognises pelican biothermal|minnesota recognises pelican
0af32b,airbridgecargo gains envirotainer|gains envirotainer qep|envirotainer qep accreditation|qep accreditation|moscow sheremetyevo airport
346a0c,cathay pacific signs|sonoco thermosafe|cathay pacific|cathay pacific cargo|pacific signs container
67ba35,aisats coolport commence|india sats airport|kempegowda international airport|sats airport services|air india sats
6c2a13,csafe rap containers|alitalia approves use|csafe rap|csafe global|csafe global says
300c5c,firm recruits alitalia|cool container firm|container firm recruits|firm recruits|recruits alitalia
8b6f2e,medpak|tnt roll|fedex express|tnt|europe three years
722280,cargo|finnair cargo|terminal|degrees celsius|cargo terminal
f6e662,airbridgecargo maintains cargo|cargo|maintains cargo|airbridgecargo airlines|airbridgecargo maintains
a669f7,cargo receives qep|etihad cargo receives|international airport|abu dhabi international|dhabi international airport
7a84c5,heathrow cargo centre|cargo centre|worldwide flight services|airside cargo centre|heathrow cargo
b8062a,ups|marken|buy pharma logistics|pharma logistics specialist|logistics
37e270,pharmaport 360 temperature|lease pharmaport 360s|pharmaport 360|sonoco thermosafe|lease pharmaport
4157e4,swiss international air|international air lines|wca dangerous goods|wca time critical|swiss worldcargo
529d6f,aviation safety agency|federal aviation administration|european aviation safety|rap container receives|csafe rap container
3672ad,aviation renews sia|renews sia cargo|siginon aviation|handler siginon aviation|sia cargo
e8f155,opens second vienna|vienna airport|swissport opens second|swissport|vienna
185536,latin america|south america|latin|va-q-tec|america
d6a9d1,dhl expand pharma|expand pharma partnership|puerto rico|san juan|expand pharma
e01ae8,csafe rap|gives csafe rap|virgin atlantic|atlantic gives csafe|virgin atlantic gives
9fb11e,pharma|alha group|iata ceiv pharma|international airport|ceiv pharma
7e0e0a,gains iata ceiv|iata ceiv|dhl gains iata|iata ceiv pharma|iata ceiv certification
76c365,airways renew certificates|qatar airways renew|qatar airways cargo|qatar airways|cargo
fc6801,emirates skycargo|cargo|emirates skycargo presented|cargo operations control|cargo operations
a4df5e,air cargo centre|pharma handling centre|air cargo|new pharma handling|cargo centre
382423,ceiv fresh|cathay pacific|first ceiv fresh|ceiv fresh certificate|awarded ceiv fresh
3fe7e4,pactl sign mou|air cargo terminals|shanghai pudong air|pudong air cargo|shanghai airport authority
8ede8e,holland flower alliance|air waybill numbers|amsterdam airport schiphol|flower shipment data|flower alliance data
bf1809,iata ceiv pharma|ceiv pharma certification|ceiv pharma|receives iata ceiv|india receives iata
b5730c,kalibox passive pallet|launches kalibox passive|passive pallet shipper|csafe launches kalibox|kalibox passive
d4448b,qatar airways cargo|qatar airways|airways achieves qep|qatar airways achieves|airways cargo
06c4d9,extends uld contract|airbridgecargo extends uld|unilode|unilode aviation solutions|uld
36cff7,american airlines cargo|airlines cargo aiming|airlines cargo|air transport association|international air transport
619ffe,peli biothermal continues|uld stations|peli biothermal|biothermal continues expansion|global peli biothermal
aa8693,lufthansa cargo|va-q-tec passive temp-control|lufthansa|cargo|lufthansa cargo customers
f861ce,dhl global forwarding|dhl freight|dhl global|dhl campus vienna|eastern europe
883b57,health care center|extends health care|lug extends health|health care|care center
e205fc,peli biothermal|peli biothermal adds|airport|credo|demand
