document_id,terms
a700bd,agility|wholesaler|authorisation|distribution|receives wholesaler
820d93,panalpina|near|weiterstadt|multimodal|multimodal transport
a8b94f,qatar|qatar airways|airways|dokasch|opticooler
79c94e,aviapartner|pharma hub|brussels|aviapartner cargo|new pharma hub
fb38a3,flower|data|scmp|number|schiphol
dfc7bf,riogaleo|riogaleo cargo|rio|rio de|rio de janeiro
2288cd,win|e-booking|awb|electronic|debenedette
42ec6a,lufthansa|lufthansa cargo|cool center|cool|temperature-sensitive cargo
caedf9,credo|dublin|dublin facility|dublin network|dublin network station
1ab75d,central spacewaye|spacewaye|segro|units|hill
bea2db,turkish|turkish cargo|istanbul|cargo operations|square metre
35ecb5,app|quick quote|quote|freightabase|quick
a831f9,perishables|acquisitions|cfi|trillvane|global perishables
6fc469,panalpina|wms|inventory|jda|jda wms
e274b8,lug|health care|undergoes|hcc|expansion
552d73,airasia|unilode|extension|uld|agreement
8cd6b9,credo|points|assets|rental|return
cdd606,jettainer|american airlines|american airlines cargo|american|airlines cargo
87fc49,kale|kale logistics|cargonaut|india|initiative
c01f43,jettainer|american|american airlines|expansion|uld
69b452,online|e-booking|rigel|platform|booking
d873a1,priority|priority freight|airfreight|department|german
6e32da,delta|booking|website|delta cargo|booking channels
55777d,specific|dhl|vienna|dhl global|competence
bb5214,egln|global logistics|conference|elite|elite global
5fe27c,ups|speed|critical|express critical|express critical service
c6aaab,lufthansa|digitalization|startup|lufthansa cargo|said
a97d6b,hyderabad|charter|hyderabad airport|cargo charter|gmr
3fa26f,dnata|gdp certification|gdp|zurich|distribution
e37dd2,dhl|book|quote|dhl air|mydhli
e36973,app|lufthansa|lufthansa cargo|store|new app
ecdd7d,singapore|tempchain|tempchain service|va-q-tec|pacific
c294f0,technology|dhl|deployment|emerging|dhl supply
e244dc,eye|cargo eye|finnair|finnair cargo|monitoring
17159c,ijs|ijs global|said|landman|wellness
475262,swissport|frankfurt airport|frankfurt|fraport|airfreight
f34ac0,allen|chris|asian|chris allen|customer solutions
f3dd3b,vaccine|gavi|countries|dhl|immunisation
eaee37,compressor-driven|deck|rap|payload|pharma container
5d2b59,liege|applications|nallian|liege airport|platform
ce3b7d,ups|printing|printers|order|fast radius
4bd407,aerovision|aerovision international|chosen|forward stocking|greatly
84aa2d,delhi|çelebi|kale|domestic|delhi cargo
2525d2,belcorp|kuehne|nagel|shipment order|shipment order management
d4144e,peli|peli biothermal|biothermal|smi|smi cold
bd49cc,lufthansa|lufthansa cargo|film|reflective|reflective film
691955,sfoc|audits|programme|sfoc programme|cargo handling
dfc357,icargo|dnata|suite|ibs|terminal operation
1e607a,brussels|brussels airlines|brussels airlines cargo|airlines cargo|pharma handling
8e9260,dnata|dwc|dubai|ceiv|dubai world
3f756f,schiphol|degrees|degrees celsius|celsius|dhl
acc74f,dfw|community|ceiv|certification|north
666ca9,pelican|korea|germany|south korea|pelican biothermal
7083bd,db schenker|schenker|dubai|spare|spare parts
d7c6ef,air canada|canada|wallenborn|contract|awards
457f5c,champ|quotes|lot|lot cargo|cargospot
f9143e,mykn|online|explore|portal|booking
c205cf,swissport|lufthansa|brussels|belgian|belgian airports
dcfc11,wco|cargo-xml|wco cts|cts|customs authorities
df2b37,advanced air|advanced air cargo|whitfield|neutral|logistics industry
4db03e,anniversaries|jettainer|uld|celebrate|15th
af3372,pactl|shanghai|shanghai pudong international|pudong international|pudong international airport
53dd4b,andreyev|uti|trade services|trade|apac
42bbe5,wfs|ceiv|schiphol|airline customers|ceiv pharma
af2b1c,pharmaport|united cargo|tempcontrol|lease|sonoco
5177c5,app|slot|brucloud|bru|ground
a02bbd,messe|messe muenchen|muenchen|india|africa
3946fa,said|goh|singapore|digitisation|goh said
1320c0,american|lhr|room|crt|crt room
bcf333,chep|air transat|transat|uld|management partnership
